max_apertura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.1685	-3.22266	-24.37134	-10.17151	7.35168	2.71912
0.169	0.10071	-13.89771	-8.96301	8.45947	0.10071
0.1695	-1.10779	-13.89771	-4.53186	1.91345	10.87646
0.17	-4.33044	-9.36584	-5.53894	5.74036	4.53186
0.1705	-0.90637	-9.86938	-7.35168	-6.04248	4.43115
0.171	2.31628	-6.3446	-5.0354	-4.83398	3.52478
0.1715	3.22266	-4.93469	-0.10071	-3.22266	-0.70496
0.172	-6.94885	-0.50354	-2.61841	-15.00549	0.80566
0.1725	-1.10779	-5.53894	-2.5177	-11.98425	-2.71912
0.173	-2.41699	1.91345	0.10071	-27.19116	4.33044
0.1735	-0.80566	2.92053	7.15027	-28.9032	-1.10779
0.174	4.93469	10.17151	11.78284	-27.6947	-2.5177
0.1745	-0.70496	6.84814	13.797	-31.01807	-2.71912
0.175	0.80566	7.45239	14.80408	-29.30603	-6.14319
0.1755	0.50354	5.0354	14.30054	-27.09045	-8.8623
0.176	-0.70496	4.93469	13.09204	-18.02673	-9.26514
0.1765	-2.5177	12.48779	10.77576	-4.53186	-14.19983
0.177	-4.53186	9.86938	14.40125	-2.5177	-3.22266
0.1775	-10.37292	20.24231	9.86938	-0.70496	-4.12903
0.178	-8.96301	17.92603	9.06372	-0.90637	-6.14319
0.1785	-7.04956	8.15735	8.25806	-5.0354	-13.797
0.179	-5.84106	11.98425	2.41699	1.00708	-13.09204
0.1795	-10.17151	6.84814	7.65381	7.35168	-4.83398
0.18	-15.1062	8.15735	-0.20142	3.7262	-21.24939
0.1805	-4.22974	5.53894	3.92761	0.10071	-31.21948
0.181	-8.56018	2.81982	-4.53186	8.35876	-33.13293
0.1815	-4.12903	2.81982	7.5531	2.5177	-36.55701
0.182	-4.12903	-4.33044	3.52478	7.45239	-25.68054
0.1825	1.10779	-5.84106	-5.63965	12.18567	-15.1062
0.183	-0.60425	-7.35168	-11.78284	9.86938	-5.84106
0.1835	-2.01416	-9.06372	-14.40125	13.59558	3.32336
0.184	-3.52478	-21.65222	-14.09912	22.35718	20.04089
0.1845	-0.90637	-27.19116	-13.797	17.42249	24.27063
0.185	-4.83398	-24.47205	-10.37292	18.22815	22.76001
0.1855	-10.27222	-24.27063	-17.12036	14.50195	23.26355
0.186	-5.94177	-24.27063	-8.66089	19.13452	21.04797
0.1865	-12.68921	-24.47205	-6.64673	20.04089	20.24231
0.187	-11.68213	-21.85364	-7.85522	14.30054	15.91187
0.1875	-15.50903	-18.93311	-6.14319	13.99841	18.63098
0.188	-9.56726	-17.6239	-5.13611	8.96301	15.20691
0.1885	0.50354	-16.71753	-10.17151	11.48071	3.42407
0.189	-2.92053	-6.74744	-6.74744	7.5531	-0.10071
0.1895	0	-5.13611	-6.04248	2.11487	-9.97009
0.19	-2.21558	0.80566	-5.63965	-0.30212	-2.11487
0.1905	-3.52478	-3.42407	-5.94177	0.20142	-2.11487
0.191	-7.35168	1.91345	-0.70496	1.71204	-0.70496
0.1915	-7.75452	3.7262	-2.92053	-6.2439	-6.54602
0.192	-1.71204	3.92761	-0.90637	-9.36584	-4.83398
0.1925	-5.33752	7.15027	4.33044	-17.6239	-10.47363
0.193	-3.42407	10.37292	4.83398	-12.48779	-5.33752
0.1935	-1.51062	13.19275	11.78284	-18.8324	-14.80408
0.194	-2.71912	13.89771	15.00549	-19.83948	-4.43115
0.1945	-2.92053	9.36584	10.77576	-13.797	-10.87646
0.195	-5.63965	11.68213	10.87646	-12.99133	-9.46655
0.1955	-9.56726	7.15027	10.57434	-13.49487	-7.35168
0.196	-13.59558	11.98425	7.5531	-18.8324	-7.15027
0.1965	-8.45947	10.0708	5.33752	-27.29187	-3.12195
0.197	-2.11487	5.33752	8.96301	-25.27771	6.74744
0.1975	5.94177	7.45239	4.73328	-28.09753	5.53894
0.198	-5.13611	2.11487	3.22266	-26.68762	9.86938
0.1985	-1.51062	-0.40283	7.45239	-19.83948	5.33752
0.199	2.5177	-3.92761	8.96301	-14.80408	13.89771
0.1995	-2.31628	-3.12195	2.92053	-19.33594	12.5885
0.2	0.40283	3.92761	-1.51062	-7.35168	16.3147
0.2005	-3.22266	-4.12903	-5.94177	-12.68921	21.14868
0.201	0.20142	-6.74744	-3.92761	-11.98425	21.65222
0.2015	-1.51062	-4.73328	-9.06372	-10.27222	18.8324
0.202	-0.30212	-7.85522	-5.33752	-0.30212	20.64514
0.2025	-1.81274	-16.11328	-11.17859	7.5531	12.5885
0.203	-3.7262	-15.30762	-12.68921	17.42249	18.8324
0.2035	-2.61841	-10.97717	-6.74744	11.07788	10.87646
0.204	-5.13611	-13.797	-18.22815	11.58142	10.0708
0.2045	-9.86938	-15.00549	-18.02673	16.91895	15.71045
0.205	-10.27222	-17.42249	-21.04797	24.27063	11.48071
0.2055	-10.77576	-18.73169	-25.88196	28.29895	0.60425
0.206	-7.5531	-20.94727	-28.29895	32.22656	-13.09204
0.2065	-2.21558	-24.87488	-9.06372	44.0094	-18.32886
